"metric","model","dgp","mean_value","sd_y","value"
"ci_length","BART_t-learner","dgp31",1.5791820648072,NA,NA
"ci_length","BART_t-learner","dgp32",1.34442346950522,NA,NA
"ci_length","BART_t-learner","dgp37",0.919074162547063,NA,NA
"ci_length","BART_t-learner","dgp38",0.555522913874621,NA,NA
"ci_length","BART_t-learner","dgp39",0.989086025616928,NA,NA
"ci_length","BART_t-learner","dgp40",0.601752529383203,NA,NA
"ci_length","BART_t-learner","dgp57",0.352057572993003,NA,NA
"ci_length","BART_t-learner","dgp58",0.404463381810463,NA,NA
"ci_length","BART_t-learner","dgp59",0.362519121352474,NA,NA
"ci_length","BART_t-learner","dgp60",0.299963045298653,NA,NA
"ci_length","BART_t-learner","dgp61",0.835609339223699,NA,NA
"ci_length","BART_t-learner","dgp62",0.868700294976057,NA,NA
"ci_length","BART_t-learner","dgp63",0.95968273935143,NA,NA
"ci_length","BART_t-learner","dgp64",0.605980825362939,NA,NA
"ci_length","causal_forest","dgp29",1.65684193909549,NA,NA
"ci_length","causal_forest","dgp30",1.95310847126989,NA,NA
"ci_length","causal_forest","dgp31",1.80880704517657,NA,NA
"ci_length","causal_forest","dgp32",1.3319660272976,NA,NA
"ci_length","causal_forest","dgp37",1.97573104111976,NA,NA
"ci_length","causal_forest","dgp38",0.526720511325507,NA,NA
"ci_length","causal_forest","dgp39",3.16482653971574,NA,NA
"ci_length","causal_forest","dgp40",1.80655094187938,NA,NA
"ci_length","causal_forest","dgp57",0.356047764727241,NA,NA
"ci_length","causal_forest","dgp58",0.365916992336067,NA,NA
"ci_length","causal_forest","dgp59",0.350529615457412,NA,NA
"ci_length","causal_forest","dgp60",0.30403651396125,NA,NA
"ci_length","causal_forest","dgp61",0.830572556291761,NA,NA
"ci_length","causal_forest","dgp62",0.834422203382033,NA,NA
"ci_length","causal_forest","dgp63",0.854944656617104,NA,NA
"ci_length","causal_forest","dgp64",0.617864977918252,NA,NA
"ci_length","weighting","dgp29",1.59031808672433,NA,NA
"ci_length","weighting","dgp30",2.38017651027546,NA,NA
"ci_length","weighting","dgp31",1.88197068081731,NA,NA
"ci_length","weighting","dgp32",1.33117117312192,NA,NA
"ci_length","weighting","dgp37",0.672725593652684,NA,NA
"ci_length","weighting","dgp38",0.676569033582564,NA,NA
"ci_length","weighting","dgp39",1.39849872347881,NA,NA
"ci_length","weighting","dgp40",0.895370263317117,NA,NA
"ci_length","weighting","dgp57",0.349691252404104,NA,NA
"ci_length","weighting","dgp58",0.398557800076786,NA,NA
"ci_length","weighting","dgp59",0.368946045728017,NA,NA
"ci_length","weighting","dgp60",0.302260303555625,NA,NA
"ci_length","weighting","dgp61",0.849372247896451,NA,NA
"ci_length","weighting","dgp62",0.901102576158583,NA,NA
"ci_length","weighting","dgp63",0.884418507922348,NA,NA
"ci_length","weighting","dgp64",0.728620344593556,NA,NA
"coverage","BART_ps-bart","dgp29",0.94,NA,NA
