"dgp","metric","model","iteration","ps_model","regression_model","value"
"dgp31","coverage","bart_ps-bart",18,"bart","linear_basic",1
"dgp31","ate_estimate","bart_ps-bart",19,"bart","linear_basic",1.04759859711895
"dgp31","ate_bias","bart_ps-bart",19,"bart","linear_basic",0.952401402881045
"dgp31","ci_length","bart_ps-bart",19,"bart","linear_basic",2.0084345526322
"dgp31","coverage","bart_ps-bart",19,"bart","linear_basic",1
"dgp31","ate_estimate","bart_ps-bart",20,"bart","linear_basic",2.75250971637489
"dgp31","ate_bias","bart_ps-bart",20,"bart","linear_basic",-0.752509716374887
"dgp31","ci_length","bart_ps-bart",20,"bart","linear_basic",2.017933155604
"dgp31","coverage","bart_ps-bart",20,"bart","linear_basic",1
"dgp32","ate_estimate","bart_ps-bart",1,"bart","linear_basic",2.86350439582443
"dgp32","ate_bias","bart_ps-bart",1,"bart","linear_basic",-0.336113988233024
"dgp32","ci_length","bart_ps-bart",1,"bart","linear_basic",1.42592911016712
"dgp32","coverage","bart_ps-bart",1,"bart","linear_basic",1
"dgp32","ate_estimate","bart_ps-bart",2,"bart","linear_basic",2.52191969766662
"dgp32","ate_bias","bart_ps-bart",2,"bart","linear_basic",0.00547070992479304
"dgp32","ci_length","bart_ps-bart",2,"bart","linear_basic",1.38156529241227
"dgp32","coverage","bart_ps-bart",2,"bart","linear_basic",1
"dgp32","ate_estimate","bart_ps-bart",3,"bart","linear_basic",2.37103219341489
"dgp32","ate_bias","bart_ps-bart",3,"bart","linear_basic",0.156358214176521
"dgp32","ci_length","bart_ps-bart",3,"bart","linear_basic",1.4144199011317
"dgp32","coverage","bart_ps-bart",3,"bart","linear_basic",1
"dgp32","ate_estimate","bart_ps-bart",4,"bart","linear_basic",2.37249436553343
"dgp32","ate_bias","bart_ps-bart",4,"bart","linear_basic",0.154896042057978
"dgp32","ci_length","bart_ps-bart",4,"bart","linear_basic",1.4128445289859
"dgp32","coverage","bart_ps-bart",4,"bart","linear_basic",1
"dgp32","ate_estimate","bart_ps-bart",5,"bart","linear_basic",2.20380846117571
"dgp32","ate_bias","bart_ps-bart",5,"bart","linear_basic",0.323581946415704
"dgp32","ci_length","bart_ps-bart",5,"bart","linear_basic",1.4279488989128
"dgp32","coverage","bart_ps-bart",5,"bart","linear_basic",1
"dgp32","ate_estimate","bart_ps-bart",6,"bart","linear_basic",2.69467774754039
"dgp32","ate_bias","bart_ps-bart",6,"bart","linear_basic",-0.167287339948979
"dgp32","ci_length","bart_ps-bart",6,"bart","linear_basic",1.39177852579389
"dgp32","coverage","bart_ps-bart",6,"bart","linear_basic",1
"dgp32","ate_estimate","bart_ps-bart",7,"bart","linear_basic",2.64593771311905
"dgp32","ate_bias","bart_ps-bart",7,"bart","linear_basic",-0.118547305527635
"dgp32","ci_length","bart_ps-bart",7,"bart","linear_basic",1.42069509334281
"dgp32","coverage","bart_ps-bart",7,"bart","linear_basic",1
"dgp32","ate_estimate","bart_ps-bart",8,"bart","linear_basic",2.2839190816651
"dgp32","ate_bias","bart_ps-bart",8,"bart","linear_basic",0.243471325926309
"dgp32","ci_length","bart_ps-bart",8,"bart","linear_basic",1.37731188332228
"dgp32","coverage","bart_ps-bart",8,"bart","linear_basic",1
"dgp32","ate_estimate","bart_ps-bart",9,"bart","linear_basic",2.17635105029347
