"model","dgp","bias_abs","bias_rel","bias_std","rmse","rmse_rel","rmse_std","coverage","ci_length","ci_length_rel","ci_length_std"
"BART_s-learner","dgp63",0.18882171224072,0.0944108561203601,0.0685609890449873,0.240748323420708,0.120374161710354,0.0874154935297035,0.96,0.918273591401232,0.459136795700616,0.333424291588348
"BART_s-learner","dgp64",0.129152001192447,0.0356281382599854,0.03988011657747,0.159387035064199,0.0439688372590893,0.0492162218208763,0.94,0.617370691113234,0.170309156169168,0.190634406790352
"BART_t-learner","dgp29",0.376809614377516,0.0942024035943791,0.0188815698612059,0.464838473070712,0.116209618267678,0.0232926118882613,0.91,1.56633970511884,0.39158492627971,0.0784877865110723
"BART_t-learner","dgp30",0.851109227381427,0.0851109227381427,0.0346122863587004,1.02229160637572,0.102229160637572,0.0415738059036632,0.6,2.02600599200958,0.202600599200958,0.08239212700775
"BART_t-learner","dgp31",0.31446608908955,0.157233044544775,0.0173341306375302,0.387183886202952,0.193591943101476,0.0213425113137633,0.98,1.5791820648072,0.789591032403601,0.0870483310014951
"BART_t-learner","dgp32",0.267849082699256,0.10597851518892,0.0210619622778586,0.31390444711099,0.124201012304284,0.0246834656190596,0.99,1.34442346950522,0.531941351627765,0.105716981050783
"BART_t-learner","dgp37",0.223405726489887,0.0558514316224717,0.0423391813680425,0.280660206264516,0.070165051566129,0.0531898781760344,0.88,0.919074162547063,0.229768540636766,0.174180171073293
"BART_t-learner","dgp38",0.151676198090109,0.0606704792360438,0.105966994100294,0.18517303691694,0.0740692147667758,0.129369211238097,0.85,0.555522913874621,0.222209165549848,0.388110290727075
"BART_t-learner","dgp39",0.284806879863477,0.0454216003258501,0.0204456265688382,0.359884310185017,0.0573951068478538,0.0258352614850944,0.83,0.989086025616928,0.157741520025749,0.0710041960149058
"BART_t-learner","dgp40",0.221792719628493,0.0318576846371168,0.0401512297746835,0.265656053934856,0.0381580910427247,0.0480918277229325,0.73,0.601752529383203,0.0864340468108616,0.108935514723984
"BART_t-learner","dgp57",0.0641604722687973,0.128320944537595,0.0516997402285592,0.0813114474887074,0.162622894977415,0.0655197906767699,0.96,0.352057572993003,0.704115145986006,0.283683776406474
"BART_t-learner","dgp58",0.0911593454184914,0.0911593454184914,0.0656562044008384,0.110778314374703,0.110778314374703,0.0797864839679999,0.92,0.404463381810463,0.404463381810463,0.291308920077166
"BART_t-learner","dgp59",0.0672979997602224,0.084122499700278,0.0551803338919915,0.0844483572245743,0.105560446530718,0.069242601041413,0.95,0.362519121352474,0.453148901690593,0.297243992833864
"BART_t-learner","dgp60",0.0664588569388231,0.0394122600355804,0.0552280044359207,0.0833951202726462,0.049456014100718,0.0693022162056072,0.92,0.299963045298653,0.177887825444511,0.249272424465801
"BART_t-learner","dgp61",0.15335419007842,0.0766770950392101,0.0487622649090239,0.199723870179066,0.0998619350895331,0.0635065025699456,0.95,0.835609339223699,0.41780466961185,0.265699971672402
"BART_t-learner","dgp62",0.203869626425025,0.101934813212513,0.0793453005060019,0.248021391010751,0.124010695505375,0.0965290031023914,0.95,0.868700294976057,0.434350147488029,0.33809492450253
"BART_t-learner","dgp63",0.176470555459251,0.0882352777296255,0.0640762954430795,0.230710758515925,0.115355379257962,0.0837708629980311,0.94,0.95968273935143,0.479841369675715,0.348459914903512
"BART_t-learner","dgp64",0.132831602873663,0.0366432007927345,0.0410163199862494,0.166505842631431,0.0459326462431533,0.0514143981793731,0.93,0.605980825362939,0.167167124238052,0.187117394512341
"causal_forest","dgp29",0.380421006273165,0.0951052515682912,0.0190625332596227,0.46404513917171,0.116011284792927,0.0232528586843469,0.92,1.65684193909549,0.414210484773872,0.0830227670111006
"causal_forest","dgp30",0.788684161060683,0.0788684161060683,0.0320736295072148,0.931700108435942,0.0931700108435942,0.0378896972517076,0.65,1.95310847126989,0.195310847126989,0.079427584054263
"causal_forest","dgp31",0.399484812600632,0.199742406300316,0.0220205680980651,0.496825067541407,0.248412533770704,0.0273861981420519,0.92,1.80880704517657,0.904403522588284,0.0997058147349142
"causal_forest","dgp32",0.281967087684553,0.111564516046916,0.0221721131338644,0.332537777070831,0.131573569351218,0.0261486731485015,0.97,1.3319660272976,0.527012377390067,0.104737406376823
"causal_forest","dgp37",0.432257529810064,0.108064382452516,0.0819201469894228,0.597799269004248,0.149449817251062,0.113293119517238,0.92,1.97573104111976,0.49393276027994,0.374434604693213
"causal_forest","dgp38",0.125304965387791,0.0501219861551164,0.0875430073748095,0.154426940770429,0.0617707763081715,0.107888771788864,0.89,0.526720511325507,0.210688204530203,0.367987792540623
"causal_forest","dgp39",0.733342445542715,0.116954995888406,0.0526449564555188,0.910849564124159,0.145264204567159,0.06538778156412,0.93,3.16482653971574,0.504733194143763,0.227195570616812
